event	Epochs	Adam_loss	SGD_loss	RMSprop_loss
1e-02	46	1.7	0.72	0.73
1e-02	47	1.7	0.71	0.73
1e-02	48	1.7	0.7	0.72
1e-02	49	1.71	0.69	0.72
1e-02	50	1.69	0.68	0.71
1e-04	1	2.75	3	3.5
1e-04	2	2.6	2.95	3.3
1e-04	3	2.45	2.88	3.15
1e-04	4	2.3	2.82	3.02
1e-04	5	2.15	2.8	2.92
1e-04	6	2.02	2.75	2.84
1e-04	7	1.9	2.7	2.76
1e-04	8	1.78	2.67	2.69
1e-04	9	1.67	2.63	2.63
1e-04	10	1.57	2.6	2.57
1e-04	11	1.47	2.55	2.51
1e-04	12	1.38	2.5	2.46
1e-04	13	1.29	2.45	2.41
1e-04	14	1.21	2.4	2.37
1e-04	15	1.13	2.35	2.33
1e-04	16	1.05	2.3	2.29
1e-04	17	0.98	2.25	2.25
1e-04	18	0.91	2.2	2.22
1e-04	19	0.85	2.15	2.18
1e-04	20	0.79	2.11	2.15
1e-04	21	0.74	2.04	2.12
1e-04	22	0.69	2	2.09
1e-04	23	0.64	1.95	2.06
1e-04	24	0.59	1.88	2.03
1e-04	25	0.55	1.8	2
1e-04	26	0.51	1.76	1.98
1e-04	27	0.47	1.72	1.95
1e-04	28	0.43	1.68	1.93
1e-04	29	0.41	1.65	1.9
1e-04	30	0.405	1.63	1.88
1e-04	31	0.395	1.61	1.86
1e-04	32	0.385	1.6	1.84
1e-04	33	0.38	1.59	1.82
1e-04	34	0.377	1.58	1.8
1e-04	35	0.375	1.57	1.78
1e-04	36	0.373	1.56	1.76
1e-04	37	0.371	1.55	1.74
1e-04	38	0.369	1.54	1.72
1e-04	39	0.367	1.53	1.71
1e-04	40	0.365	1.52	1.69
1e-04	41	0.363	1.51	1.68
1e-04	42	0.361	1.5	1.66
1e-04	43	0.359	1.49	1.65
1e-04	44	0.357	1.48	1.63
1e-04	45	0.355	1.47	1.62
1e-04	46	0.353	1.46	1.6
1e-04	47	0.351	1.45	1.59
1e-04	48	0.349	1.44	1.58
1e-04	49	0.347	1.43	1.56
1e-04	50	0.345	1.42	1.55
1e-06	1	2.75	3	3.5
1e-06	2	2.7	2.98	3.45
1e-06	3	2.65	2.96	3.41
1e-06	4	2.55	2.94	3.37
1e-06	5	2.48	2.92	3.33
1e-06	6	2.35	2.9	3.29
1e-06	7	2.29	2.88	3.25
1e-06	8	2.2	2.86	3.21
1e-06	9	2.15	2.84	3.18
1e-06	10	2.1	2.82	3.15
1e-06	11	2.05	2.8	3.12
1e-06	12	2	2.78	3.09
1e-06	13	1.93	2.76	3.06
1e-06	14	1.9	2.74	3.03
1e-06	15	1.85	2.72	3
1e-06	16	1.8	2.7	2.97
1e-06	17	1.76	2.68	2.94
1e-06	18	1.7	2.66	2.91
1e-06	19	1.65	2.64	2.88
1e-06	20	1.6	2.62	2.85
1e-06	21	1.55	2.6	2.82
1e-06	22	1.5	2.58	2.79
1e-06	23	1.45	2.56	2.76
1e-06	24	1.4	2.54	2.73
1e-06	25	1.35	2.52	2.7
1e-06	26	1.3	2.5	2.67
1e-06	27	1.25	2.48	2.64
1e-06	28	1.23	2.46	2.61
1e-06	29	1.2	2.44	2.58
1e-06	30	1.18	2.42	2.55
1e-06	31	1.15	2.4	2.52
1e-06	32	1.13	2.38	2.49
1e-06	33	1.12	2.36	2.46
1e-06	34	1.11	2.34	2.43
1e-06	35	1.1	2.32	2.4
1e-06	36	1.08	2.3	2.37
1e-06	37	1.07	2.28	2.34
1e-06	38	1.06	2.26	2.31
1e-06	39	1.05	2.24	2.28
1e-06	40	1.04	2.22	2.25
1e-06	41	1.03	2.2	2.22
1e-06	42	1.02	2.18	2.19
1e-06	43	1.01	2.16	2.16
1e-06	44	1	2.14	2.13
1e-06	45	0.99	2.12	2.1
1e-06	46	0.98	2.1	2.07
1e-06	47	0.97	2.08	2.04
1e-06	48	0.96	2.06	2.01
1e-06	49	0.95	2.04	1.98
1e-06	50	0.94	2.02	1.95
