optimizer,Num of Layers,Epoch,Batch Size,Learning Rate,Validation Accuracy,Validation Loss,Samples
Adam,18,50,64,0.001,0.94,0.4,"Adam, 18, 50, 64, 0.001"
Adam,18,70,64,0.001,0.96,0.38,"Adam, 18, 70, 64, 0.001"
Adam,18,90,64,0.001,0.97,0.37,"Adam, 18, 90, 64, 0.001"
Adam,18,110,64,0.001,0.98,0.36,"Adam, 18, 110, 64, 0.001"
Adam,18,1,8,0.0025,0.55,0.95,"Adam, 18, 1, 8, 0.0025"
Adam,18,2,8,0.0025,0.62,0.85,"Adam, 18, 2, 8, 0.0025"
Adam,18,4,8,0.0025,0.68,0.75,"Adam, 18, 4, 8, 0.0025"
Adam,18,6,8,0.0025,0.71,0.7,"Adam, 18, 6, 8, 0.0025"
Adam,18,8,8,0.0025,0.74,0.65,"Adam, 18, 8, 8, 0.0025"
Adam,18,10,8,0.0025,0.76,0.63,"Adam, 18, 10, 8, 0.0025"
Adam,18,30,8,0.0025,0.85,0.55,"Adam, 18, 30, 8, 0.0025"
Adam,18,50,8,0.0025,0.89,0.5,"Adam, 18, 50, 8, 0.0025"
Adam,18,70,8,0.0025,0.91,0.48,"Adam, 18, 70, 8, 0.0025"
Adam,18,90,8,0.0025,0.93,0.46,"Adam, 18, 90, 8, 0.0025"
Adam,18,110,8,0.0025,0.94,0.45,"Adam, 18, 110, 8, 0.0025"
Adam,18,1,16,0.0025,0.62,0.9,"Adam, 18, 1, 16, 0.0025"
Adam,18,2,16,0.0025,0.68,0.8,"Adam, 18, 2, 16, 0.0025"
Adam,18,4,16,0.0025,0.74,0.7,"Adam, 18, 4, 16, 0.0025"
Adam,18,6,16,0.0025,0.77,0.65,"Adam, 18, 6, 16, 0.0025"
Adam,18,8,16,0.0025,0.8,0.6,"Adam, 18, 8, 16, 0.0025"
Adam,18,10,16,0.0025,0.82,0.58,"Adam, 18, 10, 16, 0.0025"
Adam,18,30,16,0.0025,0.9,0.5,"Adam, 18, 30, 16, 0.0025"
Adam,18,50,16,0.0025,0.93,0.45,"Adam, 18, 50, 16, 0.0025"
Adam,18,70,16,0.0025,0.95,0.43,"Adam, 18, 70, 16, 0.0025"
Adam,18,90,16,0.0025,0.96,0.41,"Adam, 18, 90, 16, 0.0025"
Adam,18,110,16,0.0025,0.97,0.4,"Adam, 18, 110, 16, 0.0025"
Adam,18,1,32,0.0025,0.68,0.85,"Adam, 18, 1, 32, 0.0025"
Adam,18,2,32,0.0025,0.74,0.75,"Adam, 18, 2, 32, 0.0025"
Adam,18,4,32,0.0025,0.8,0.65,"Adam, 18, 4, 32, 0.0025"
Adam,18,6,32,0.0025,0.83,0.6,"Adam, 18, 6, 32, 0.0025"
Adam,18,8,32,0.0025,0.86,0.55,"Adam, 18, 8, 32, 0.0025"
Adam,18,10,32,0.0025,0.88,0.53,"Adam, 18, 10, 32, 0.0025"
Adam,18,30,32,0.0025,0.95,0.45,"Adam, 18, 30, 32, 0.0025"
Adam,18,50,32,0.0025,0.97,0.4,"Adam, 18, 50, 32, 0.0025"
Adam,18,70,32,0.0025,0.98,0.38,"Adam, 18, 70, 32, 0.0025"
Adam,18,90,32,0.0025,0.99,0.37,"Adam, 18, 90, 32, 0.0025"
Adam,18,110,32,0.0025,0.99,0.36,"Adam, 18, 110, 32, 0.0025"
Adam,18,1,64,0.0025,0.72,0.8,"Adam, 18, 1, 64, 0.0025"
Adam,18,2,64,0.0025,0.78,0.7,"Adam, 18, 2, 64, 0.0025"
Adam,18,4,64,0.0025,0.83,0.6,"Adam, 18, 4, 64, 0.0025"
Adam,18,6,64,0.0025,0.86,0.55,"Adam, 18, 6, 64, 0.0025"
Adam,18,8,64,0.0025,0.89,0.5,"Adam, 18, 8, 64, 0.0025"
Adam,18,10,64,0.0025,0.91,0.48,"Adam, 18, 10, 64, 0.0025"
Adam,18,30,64,0.0025,0.98,0.4,"Adam, 18, 30, 64, 0.0025"
Adam,18,50,64,0.0025,0.99,0.38,"Adam, 18, 50, 64, 0.0025"
Adam,18,70,64,0.0025,0.99,0.36,"Adam, 18, 70, 64, 0.0025"
Adam,18,90,64,0.0025,0.99,0.35,"Adam, 18, 90, 64, 0.0025"
Adam,18,110,64,0.0025,0.99,0.34,"Adam, 18, 110, 64, 0.0025"
Adam,18,1,8,0.005,0.7,0.8,"Adam, 18, 1, 8, 0.005"
Adam,18,2,8,0.005,0.78,0.7,"Adam, 18, 2, 8, 0.005"
Adam,18,4,8,0.005,0.84,0.6,"Adam, 18, 4, 8, 0.005"
Adam,18,6,8,0.005,0.88,0.55,"Adam, 18, 6, 8, 0.005"
Adam,18,8,8,0.005,0.9,0.52,"Adam, 18, 8, 8, 0.005"
Adam,18,10,8,0.005,0.91,0.51,"Adam, 18, 10, 8, 0.005"
Adam,18,30,8,0.005,0.95,0.48,"Adam, 18, 30, 8, 0.005"
Adam,18,50,8,0.005,0.96,0.47,"Adam, 18, 50, 8, 0.005"
Adam,18,70,8,0.005,0.97,0.46,"Adam, 18, 70, 8, 0.005"
Adam,18,90,8,0.005,0.98,0.45,"Adam, 18, 90, 8, 0.005"
Adam,18,110,8,0.005,0.98,0.44,"Adam, 18, 110, 8, 0.005"
Adam,18,1,16,0.005,0.74,0.75,"Adam, 18, 1, 16, 0.005"
Adam,18,2,16,0.005,0.82,0.65,"Adam, 18, 2, 16, 0.005"
Adam,18,4,16,0.005,0.87,0.55,"Adam, 18, 4, 16, 0.005"
Adam,18,6,16,0.005,0.9,0.51,"Adam, 18, 6, 16, 0.005"
Adam,18,8,16,0.005,0.92,0.49,"Adam, 18, 8, 16, 0.005"
Adam,18,10,16,0.005,0.93,0.48,"Adam, 18, 10, 16, 0.005"
Adam,18,30,16,0.005,0.97,0.44,"Adam, 18, 30, 16, 0.005"
Adam,18,50,16,0.005,0.98,0.42,"Adam, 18, 50, 16, 0.005"
Adam,18,70,16,0.005,0.99,0.41,"Adam, 18, 70, 16, 0.005"
Adam,18,90,16,0.005,0.99,0.4,"Adam, 18, 90, 16, 0.005"
Adam,18,110,16,0.005,0.99,0.39,"Adam, 18, 110, 16, 0.005"
Adam,18,1,32,0.005,0.78,0.7,"Adam, 18, 1, 32, 0.005"
Adam,18,2,32,0.005,0.85,0.6,"Adam, 18, 2, 32, 0.005"
Adam,18,4,32,0.005,0.9,0.51,"Adam, 18, 4, 32, 0.005"
Adam,18,6,32,0.005,0.92,0.48,"Adam, 18, 6, 32, 0.005"
Adam,18,8,32,0.005,0.94,0.46,"Adam, 18, 8, 32, 0.005"
Adam,18,10,32,0.005,0.95,0.45,"Adam, 18, 10, 32, 0.005"
Adam,18,30,32,0.005,0.98,0.41,"Adam, 18, 30, 32, 0.005"
Adam,18,50,32,0.005,0.99,0.39,"Adam, 18, 50, 32, 0.005"
Adam,18,70,32,0.005,0.99,0.38,"Adam, 18, 70, 32, 0.005"
Adam,18,90,32,0.005,0.99,0.37,"Adam, 18, 90, 32, 0.005"
Adam,18,110,32,0.005,0.99,0.36,"Adam, 18, 110, 32, 0.005"
Adam,18,1,64,0.005,0.82,0.65,"Adam, 18, 1, 64, 0.005"
Adam,18,2,64,0.005,0.88,0.55,"Adam, 18, 2, 64, 0.005"
Adam,18,4,64,0.005,0.92,0.47,"Adam, 18, 4, 64, 0.005"
Adam,18,6,64,0.005,0.94,0.43,"Adam, 18, 6, 64, 0.005"
Adam,18,8,64,0.005,0.95,0.41,"Adam, 18, 8, 64, 0.005"
Adam,18,10,64,0.005,0.96,0.4,"Adam, 18, 10, 64, 0.005"
Adam,18,30,64,0.005,0.99,0.35,"Adam, 18, 30, 64, 0.005"
Adam,18,50,64,0.005,0.99,0.34,"Adam, 18, 50, 64, 0.005"
Adam,18,70,64,0.005,0.99,0.33,"Adam, 18, 70, 64, 0.005"
Adam,18,90,64,0.005,0.99,0.32,"Adam, 18, 90, 64, 0.005"
Adam,18,110,64,0.005,0.99,0.31,"Adam, 18, 110, 64, 0.005"
Adam,18,1,8,0.0075,0.8,0.6,"Adam, 18, 1, 8, 0.0075"
Adam,18,2,8,0.0075,0.86,0.5,"Adam, 18, 2, 8, 0.0075"
Adam,18,4,8,0.0075,0.9,0.4,"Adam, 18, 4, 8, 0.0075"
Adam,18,6,8,0.0075,0.92,0.35,"Adam, 18, 6, 8, 0.0075"
Adam,18,8,8,0.0075,0.93,0.33,"Adam, 18, 8, 8, 0.0075"
Adam,18,10,8,0.0075,0.94,0.32,"Adam, 18, 10, 8, 0.0075"
Adam,18,30,8,0.0075,0.97,0.29,"Adam, 18, 30, 8, 0.0075"
Adam,18,50,8,0.0075,0.98,0.28,"Adam, 18, 50, 8, 0.0075"
Adam,18,70,8,0.0075,0.99,0.27,"Adam, 18, 70, 8, 0.0075"
Adam,18,90,8,0.0075,0.99,0.26,"Adam, 18, 90, 8, 0.0075"
Adam,18,110,8,0.0075,0.99,0.25,"Adam, 18, 110, 8, 0.0075"
Adam,18,1,16,0.0075,0.84,0.55,"Adam, 18, 1, 16, 0.0075"
Adam,18,2,16,0.0075,0.9,0.45,"Adam, 18, 2, 16, 0.0075"
Adam,18,4,16,0.0075,0.93,0.35,"Adam, 18, 4, 16, 0.0075"
Adam,18,6,16,0.0075,0.95,0.3,"Adam, 18, 6, 16, 0.0075"
Adam,18,8,16,0.0075,0.96,0.28,"Adam, 18, 8, 16, 0.0075"
Adam,18,10,16,0.0075,0.97,0.27,"Adam, 18, 10, 16, 0.0075"
Adam,18,30,16,0.0075,0.99,0.23,"Adam, 18, 30, 16, 0.0075"
Adam,18,50,16,0.0075,0.99,0.22,"Adam, 18, 50, 16, 0.0075"
Adam,18,70,16,0.0075,0.99,0.21,"Adam, 18, 70, 16, 0.0075"
Adam,18,90,16,0.0075,0.99,0.2,"Adam, 18, 90, 16, 0.0075"
Adam,18,110,16,0.0075,0.99,0.19,"Adam, 18, 110, 16, 0.0075"
Adam,18,1,32,0.0075,0.88,0.5,"Adam, 18, 1, 32, 0.0075"
Adam,18,2,32,0.0075,0.93,0.4,"Adam, 18, 2, 32, 0.0075"
Adam,18,4,32,0.0075,0.96,0.3,"Adam, 18, 4, 32, 0.0075"
Adam,18,6,32,0.0075,0.97,0.26,"Adam, 18, 6, 32, 0.0075"
Adam,18,8,32,0.0075,0.98,0.24,"Adam, 18, 8, 32, 0.0075"
Adam,18,10,32,0.0075,0.98,0.23,"Adam, 18, 10, 32, 0.0075"
Adam,18,30,32,0.0075,0.99,0.19,"Adam, 18, 30, 32, 0.0075"
Adam,18,50,32,0.0075,0.99,0.18,"Adam, 18, 50, 32, 0.0075"
Adam,18,70,32,0.0075,0.99,0.17,"Adam, 18, 70, 32, 0.0075"
Adam,18,90,32,0.0075,0.99,0.16,"Adam, 18, 90, 32, 0.0075"
Adam,18,110,32,0.0075,0.99,0.15,"Adam, 18, 110, 32, 0.0075"
Adam,18,1,64,0.0075,0.9,0.45,"Adam, 18, 1, 64, 0.0075"
Adam,18,2,64,0.0075,0.94,0.35,"Adam, 18, 2, 64, 0.0075"
Adam,18,4,64,0.0075,0.97,0.25,"Adam, 18, 4, 64, 0.0075"
Adam,18,6,64,0.0075,0.98,0.21,"Adam, 18, 6, 64, 0.0075"
Adam,18,8,64,0.0075,0.99,0.19,"Adam, 18, 8, 64, 0.0075"
Adam,18,10,64,0.0075,0.99,0.18,"Adam, 18, 10, 64, 0.0075"
Adam,18,30,64,0.0075,0.99,0.14,"Adam, 18, 30, 64, 0.0075"
Adam,18,50,64,0.0075,0.99,0.13,"Adam, 18, 50, 64, 0.0075"
Adam,18,70,64,0.0075,0.99,0.12,"Adam, 18, 70, 64, 0.0075"
Adam,18,90,64,0.0075,0.99,0.11,"Adam, 18, 90, 64, 0.0075"
Adam,18,110,64,0.0075,0.99,0.1,"Adam, 18, 110, 64, 0.0075"
Adam,18,1,8,0.01,0.78,1.2,"Adam, 18, 1, 8, 0.01"
Adam,18,2,8,0.01,0.68,1.4,"Adam, 18, 2, 8, 0.01"
Adam,18,4,8,0.01,0.54,1.8,"Adam, 18, 4, 8, 0.01"
Adam,18,6,8,0.01,0.46,2.2,"Adam, 18, 6, 8, 0.01"
Adam,18,8,8,0.01,0.42,2.5,"Adam, 18, 8, 8, 0.01"
Adam,18,10,8,0.01,0.4,2.8,"Adam, 18, 10, 8, 0.01"
Adam,18,30,8,0.01,0.34,4,"Adam, 18, 30, 8, 0.01"
Adam,18,50,8,0.01,0.32,4.8,"Adam, 18, 50, 8, 0.01"
Adam,18,70,8,0.01,0.31,5.4,"Adam, 18, 70, 8, 0.01"
Adam,18,90,8,0.01,0.3,6,"Adam, 18, 90, 8, 0.01"
Adam,18,110,8,0.01,0.29,6.6,"Adam, 18, 110, 8, 0.01"
Adam,18,1,16,0.01,0.7,1.3,"Adam, 18, 1, 16, 0.01"
Adam,18,2,16,0.01,0.61,1.5,"Adam, 18, 2, 16, 0.01"
Adam,18,4,16,0.01,0.49,1.9,"Adam, 18, 4, 16, 0.01"
Adam,18,6,16,0.01,0.41,2.3,"Adam, 18, 6, 16, 0.01"
Adam,18,8,16,0.01,0.37,2.6,"Adam, 18, 8, 16, 0.01"
Adam,18,10,16,0.01,0.35,2.9,"Adam, 18, 10, 16, 0.01"
Adam,18,30,16,0.01,0.29,4.1,"Adam, 18, 30, 16, 0.01"
Adam,18,50,16,0.01,0.27,4.9,"Adam, 18, 50, 16, 0.01"
Adam,18,70,16,0.01,0.26,5.5,"Adam, 18, 70, 16, 0.01"
Adam,18,90,16,0.01,0.25,6.1,"Adam, 18, 90, 16, 0.01"
Adam,18,110,16,0.01,0.24,6.7,"Adam, 18, 110, 16, 0.01"
Adam,18,1,32,0.01,0.62,1.4,"Adam, 18, 1, 32, 0.01"
Adam,18,2,32,0.01,0.53,1.6,"Adam, 18, 2, 32, 0.01"
Adam,18,4,32,0.01,0.41,2,"Adam, 18, 4, 32, 0.01"
Adam,18,6,32,0.01,0.33,2.4,"Adam, 18, 6, 32, 0.01"
Adam,18,8,32,0.01,0.29,2.7,"Adam, 18, 8, 32, 0.01"
Adam,18,10,32,0.01,0.27,3,"Adam, 18, 10, 32, 0.01"
Adam,18,30,32,0.01,0.21,4.2,"Adam, 18, 30, 32, 0.01"
Adam,18,50,32,0.01,0.19,5,"Adam, 18, 50, 32, 0.01"
Adam,18,70,32,0.01,0.18,5.6,"Adam, 18, 70, 32, 0.01"
Adam,18,90,32,0.01,0.17,6.2,"Adam, 18, 90, 32, 0.01"
Adam,18,110,32,0.01,0.16,6.8,"Adam, 18, 110, 32, 0.01"
Adam,18,1,64,0.01,0.54,1.8,"Adam, 18, 1, 64, 0.01"
Adam,18,2,64,0.01,0.45,2,"Adam, 18, 2, 64, 0.01"
Adam,18,4,64,0.01,0.33,2.4,"Adam, 18, 4, 64, 0.01"
Adam,18,6,64,0.01,0.25,2.8,"Adam, 18, 6, 64, 0.01"
Adam,18,8,64,0.01,0.21,3.1,"Adam, 18, 8, 64, 0.01"
Adam,18,10,64,0.01,0.19,3.4,"Adam, 18, 10, 64, 0.01"
Adam,18,30,64,0.01,0.13,4.6,"Adam, 18, 30, 64, 0.01"
Adam,18,50,64,0.01,0.11,5.4,"Adam, 18, 50, 64, 0.01"
Adam,18,70,64,0.01,0.1,6,"Adam, 18, 70, 64, 0.01"
Adam,18,90,64,0.01,0.09,6.6,"Adam, 18, 90, 64, 0.01"
Adam,18,110,64,0.01,0.08,7.2,"Adam, 18, 110, 64, 0.01"
RMSprop,18,1,8,0.001,0.5,1,"RMSprop, 18, 1, 8, 0.001"
RMSprop,18,2,8,0.001,0.52,0.95,"RMSprop, 18, 2, 8, 0.001"
RMSprop,18,4,8,0.001,0.55,0.9,"RMSprop, 18, 4, 8, 0.001"
RMSprop,18,6,8,0.001,0.58,0.85,"RMSprop, 18, 6, 8, 0.001"
RMSprop,18,8,8,0.001,0.61,0.8,"RMSprop, 18, 8, 8, 0.001"
RMSprop,18,10,8,0.001,0.64,0.75,"RMSprop, 18, 10, 8, 0.001"
RMSprop,18,30,8,0.001,0.8,0.4,"RMSprop, 18, 30, 8, 0.001"
RMSprop,18,50,8,0.001,0.85,0.35,"RMSprop, 18, 50, 8, 0.001"
RMSprop,18,70,8,0.001,0.88,0.32,"RMSprop, 18, 70, 8, 0.001"
RMSprop,18,90,8,0.001,0.9,0.3,"RMSprop, 18, 90, 8, 0.001"
RMSprop,18,110,8,0.001,0.91,0.29,"RMSprop, 18, 110, 8, 0.001"
RMSprop,18,1,16,0.001,0.52,0.95,"RMSprop, 18, 1, 16, 0.001"
RMSprop,18,2,16,0.001,0.55,0.9,"RMSprop, 18, 2, 16, 0.001"
RMSprop,18,4,16,0.001,0.58,0.85,"RMSprop, 18, 4, 16, 0.001"
RMSprop,18,6,16,0.001,0.61,0.8,"RMSprop, 18, 6, 16, 0.001"
RMSprop,18,8,16,0.001,0.64,0.75,"RMSprop, 18, 8, 16, 0.001"
RMSprop,18,10,16,0.001,0.67,0.7,"RMSprop, 18, 10, 16, 0.001"
RMSprop,18,30,16,0.001,0.85,0.35,"RMSprop, 18, 30, 16, 0.001"
RMSprop,18,50,16,0.001,0.9,0.3,"RMSprop, 18, 50, 16, 0.001"
RMSprop,18,70,16,0.001,0.93,0.27,"RMSprop, 18, 70, 16, 0.001"
RMSprop,18,90,16,0.001,0.95,0.25,"RMSprop, 18, 90, 16, 0.001"
RMSprop,18,110,16,0.001,0.96,0.24,"RMSprop, 18, 110, 16, 0.001"
RMSprop,18,1,32,0.001,0.55,0.9,"RMSprop, 18, 1, 32, 0.001"
RMSprop,18,2,32,0.001,0.58,0.85,"RMSprop, 18, 2, 32, 0.001"
RMSprop,18,4,32,0.001,0.61,0.8,"RMSprop, 18, 4, 32, 0.001"
RMSprop,18,6,32,0.001,0.64,0.75,"RMSprop, 18, 6, 32, 0.001"
RMSprop,18,8,32,0.001,0.67,0.7,"RMSprop, 18, 8, 32, 0.001"
RMSprop,18,10,32,0.001,0.7,0.65,"RMSprop, 18, 10, 32, 0.001"
RMSprop,18,30,32,0.001,0.9,0.3,"RMSprop, 18, 30, 32, 0.001"
RMSprop,18,50,32,0.001,0.95,0.25,"RMSprop, 18, 50, 32, 0.001"
RMSprop,18,70,32,0.001,0.97,0.23,"RMSprop, 18, 70, 32, 0.001"
RMSprop,18,90,32,0.001,0.98,0.22,"RMSprop, 18, 90, 32, 0.001"
RMSprop,18,110,32,0.001,0.99,0.21,"RMSprop, 18, 110, 32, 0.001"
RMSprop,18,1,64,0.001,0.58,0.85,"RMSprop, 18, 1, 64, 0.001"
RMSprop,18,2,64,0.001,0.61,0.8,"RMSprop, 18, 2, 64, 0.001"
RMSprop,18,4,64,0.001,0.64,0.75,"RMSprop, 18, 4, 64, 0.001"
RMSprop,18,6,64,0.001,0.67,0.7,"RMSprop, 18, 6, 64, 0.001"
RMSprop,18,8,64,0.001,0.7,0.65,"RMSprop, 18, 8, 64, 0.001"
RMSprop,18,10,64,0.001,0.73,0.6,"RMSprop, 18, 10, 64, 0.001"
RMSprop,18,30,64,0.001,0.95,0.25,"RMSprop, 18, 30, 64, 0.001"
RMSprop,18,50,64,0.001,0.99,0.21,"RMSprop, 18, 50, 64, 0.001"
RMSprop,18,70,64,0.001,0.99,0.19,"RMSprop, 18, 70, 64, 0.001"
RMSprop,18,90,64,0.001,0.99,0.18,"RMSprop, 18, 90, 64, 0.001"
RMSprop,18,110,64,0.001,0.99,0.17,"RMSprop, 18, 110, 64, 0.001"
RMSprop,18,1,8,0.0025,0.75,0.8,"RMSprop, 18, 1, 8, 0.0025"
RMSprop,18,2,8,0.0025,0.78,0.75,"RMSprop, 18, 2, 8, 0.0025"
RMSprop,18,4,8,0.0025,0.81,0.7,"RMSprop, 18, 4, 8, 0.0025"
RMSprop,18,6,8,0.0025,0.83,0.68,"RMSprop, 18, 6, 8, 0.0025"
RMSprop,18,8,8,0.0025,0.85,0.66,"RMSprop, 18, 8, 8, 0.0025"
RMSprop,18,10,8,0.0025,0.86,0.65,"RMSprop, 18, 10, 8, 0.0025"
RMSprop,18,30,8,0.0025,0.92,0.56,"RMSprop, 18, 30, 8, 0.0025"
RMSprop,18,50,8,0.0025,0.94,0.55,"RMSprop, 18, 50, 8, 0.0025"
RMSprop,18,70,8,0.0025,0.95,0.54,"RMSprop, 18, 70, 8, 0.0025"
RMSprop,18,90,8,0.0025,0.96,0.53,"RMSprop, 18, 90, 8, 0.0025"
RMSprop,18,110,8,0.0025,0.96,0.52,"RMSprop, 18, 110, 8, 0.0025"
RMSprop,18,1,16,0.0025,0.78,0.75,"RMSprop, 18, 1, 16, 0.0025"
RMSprop,18,2,16,0.0025,0.81,0.7,"RMSprop, 18, 2, 16, 0.0025"
RMSprop,18,4,16,0.0025,0.83,0.68,"RMSprop, 18, 4, 16, 0.0025"
RMSprop,18,6,16,0.0025,0.85,0.66,"RMSprop, 18, 6, 16, 0.0025"
RMSprop,18,8,16,0.0025,0.86,0.65,"RMSprop, 18, 8, 16, 0.0025"
RMSprop,18,10,16,0.0025,0.87,0.64,"RMSprop, 18, 10, 16, 0.0025"
RMSprop,18,30,16,0.0025,0.94,0.55,"RMSprop, 18, 30, 16, 0.0025"
RMSprop,18,50,16,0.0025,0.96,0.54,"RMSprop, 18, 50, 16, 0.0025"
RMSprop,18,70,16,0.0025,0.97,0.53,"RMSprop, 18, 70, 16, 0.0025"
RMSprop,18,90,16,0.0025,0.97,0.52,"RMSprop, 18, 90, 16, 0.0025"
RMSprop,18,110,16,0.0025,0.98,0.51,"RMSprop, 18, 110, 16, 0.0025"
RMSprop,18,1,32,0.0025,0.81,0.7,"RMSprop, 18, 1, 32, 0.0025"
RMSprop,18,2,32,0.0025,0.83,0.68,"RMSprop, 18, 2, 32, 0.0025"
RMSprop,18,4,32,0.0025,0.85,0.66,"RMSprop, 18, 4, 32, 0.0025"
RMSprop,18,6,32,0.0025,0.86,0.65,"RMSprop, 18, 6, 32, 0.0025"
RMSprop,18,8,32,0.0025,0.87,0.64,"RMSprop, 18, 8, 32, 0.0025"
RMSprop,18,10,32,0.0025,0.88,0.63,"RMSprop, 18, 10, 32, 0.0025"
RMSprop,18,30,32,0.0025,0.96,0.54,"RMSprop, 18, 30, 32, 0.0025"
RMSprop,18,50,32,0.0025,0.97,0.53,"RMSprop, 18, 50, 32, 0.0025"
RMSprop,18,70,32,0.0025,0.98,0.52,"RMSprop, 18, 70, 32, 0.0025"
RMSprop,18,90,32,0.0025,0.98,0.51,"RMSprop, 18, 90, 32, 0.0025"
RMSprop,18,110,32,0.0025,0.99,0.5,"RMSprop, 18, 110, 32, 0.0025"
RMSprop,18,1,64,0.0025,0.83,0.68,"RMSprop, 18, 1, 64, 0.0025"
RMSprop,18,2,64,0.0025,0.85,0.66,"RMSprop, 18, 2, 64, 0.0025"
RMSprop,18,4,64,0.0025,0.86,0.65,"RMSprop, 18, 4, 64, 0.0025"
RMSprop,18,6,64,0.0025,0.87,0.64,"RMSprop, 18, 6, 64, 0.0025"
RMSprop,18,8,64,0.0025,0.88,0.63,"RMSprop, 18, 8, 64, 0.0025"
RMSprop,18,10,64,0.0025,0.89,0.62,"RMSprop, 18, 10, 64, 0.0025"
RMSprop,18,30,64,0.0025,0.97,0.53,"RMSprop, 18, 30, 64, 0.0025"
RMSprop,18,50,64,0.0025,0.98,0.52,"RMSprop, 18, 50, 64, 0.0025"
RMSprop,18,70,64,0.0025,0.99,0.51,"RMSprop, 18, 70, 64, 0.0025"
RMSprop,18,90,64,0.0025,0.99,0.5,"RMSprop, 18, 90, 64, 0.0025"
RMSprop,18,110,64,0.0025,0.99,0.49,"RMSprop, 18, 110, 64, 0.0025"
RMSprop,18,1,8,0.005,0.8,0.6,"RMSprop, 18, 1, 8, 0.005"
RMSprop,18,2,8,0.005,0.83,0.55,"RMSprop, 18, 2, 8, 0.005"
RMSprop,18,4,8,0.005,0.86,0.5,"RMSprop, 18, 4, 8, 0.005"
RMSprop,18,6,8,0.005,0.88,0.48,"RMSprop, 18, 6, 8, 0.005"
RMSprop,18,8,8,0.005,0.9,0.46,"RMSprop, 18, 8, 8, 0.005"
RMSprop,18,10,8,0.005,0.91,0.45,"RMSprop, 18, 10, 8, 0.005"
RMSprop,18,30,8,0.005,0.97,0.38,"RMSprop, 18, 30, 8, 0.005"
